{eu}	U+0115	ĕ	LATIN SMALL LETTER E WITH BREVE
{E-}	U+0112	Ē	LATIN CAPITAL LETTER E WITH MACRON
{e~}	U+1EBD	ẽ	LATIN SMALL LETTER E WITH TILDE
{Dvojčka1}	=	???	unknown
{Dvojčka}	=	???	unknown
{dvižni vozel}	=	???	unknown
{Devica1}	=	???	unknown
{Devica}	=	???	unknown
{Delta}	U+0394	Δ	GREEK CAPITAL LETTER DELTA
{deleatur}	=	???	unknown
{d-}	d,U+0304	d̄	LATIN SMALL LETTER D + COMBINING MACRON
{c-}	c,U+0304	c̄	LATIN SMALL LETTER C + COMBINING MACRON
{bp306}	U+00FE	þ	LATIN SMALL LETTER THORN
{Bik1}	=	???	unknown
{Bik}	=	???	unknown
{b-}	b,U+0304	b̄	LATIN SMALL LETTER B + COMBINING MACRON
{a}	=	???	unknown
{a//}	a,U+030B	a̋	LATIN SMALL LETTER U + COMBINING DOUBLE ACUTE ACCENT
{a-/}	=	???	unknown
{a,}	U+0105	ą	LATIN SMALL LETTER A WITH OGONEK
{6}	U+044C	ь	CYRILLIC SMALL LETTER SOFT SIGN
{6-}	=	???	unknown
{24}	U+2643	♃	JUPITER
{2}	U+00B2	²	SUPERSCRIPT TWO
{~=}	U+2245	≅	APPROXIMATELY EQUAL TO
{||}	U+2225	∥	PARALLEL TO
{>=}	U+2265	≥	GREATER-THAN OR EQUAL TO
{=~}	U+2243	≃	ASYMPTOTICALLY EQUAL TO
{=-}	U+2261	≡	IDENTICAL TO
{<-->}	U+2194	↔	LEFT RIGHT ARROW
{--}	U+2014	—	EM DASH
{-+}	U+2213	∓	MINUS-OR-PLUS SIGN
{'''}	=	???	unknown
{%...}	=	???	unknown
{ \\}	=	???	unknown
{}	-	-	Glue (REMOVE)
{  c}	U+00B8	¸	CEDILLA
{ %,,}	U+02DD	˝	DOUBLE ACUTE ACCENT
{ %,}	U+2018	‘	LEFT SINGLE QUOTATION MARK
{ ,,}	U+02DD	˝	DOUBLE ACUTE ACCENT
{ ,}	U+2019	’	RIGHT SINGLE QUOTATION MARK
{ -}	U+00AF	¯	MACRON
{ 1}	U+00B9	¹	SUPERSCRIPT ONE
{ 2}	U+00B2	²	SUPERSCRIPT TWO
{ 3}	U+00B3	³	SUPERSCRIPT THREE
{ :}	U+00A8	¨	DIAERESIS
{ a}	U+00AA	ª	FEMININE ORDINAL INDICATOR
{ n}	U+207F	ⁿ	SUPERSCRIPT LATIN SMALL LETTER N
{!!}	U+203C	‼	DOUBLE EXCLAMATION MARK
{%!}	U+00A1	¡	INVERTED EXCLAMATION MARK
{%?}	U+00BF	¿	INVERTED QUESTION MARK
{->}	U+2192	→	RIGHTWARDS ARROW
{/o}	U+00F3	ó	LATIN SMALL LETTER O WITH ACUTE
{1/3}	U+2153	⅓	VULGAR FRACTION ONE THIRD
{1/8}	U+215B	⅛	VULGAR FRACTION ONE EIGHTH
{2/3}	U+2154	⅔	VULGAR FRACTION TWO THIRDS
{3/8}	U+215C	⅜	VULGAR FRACTION THREE EIGHTHS
{5/8}	U+215D	⅝	VULGAR FRACTION FIVE EIGHTHS
{7/8}	U+215E	⅞	VULGAR FRACTION SEVEN EIGHTHS
{<->}	U+2194	↔	LEFT RIGHT ARROW
{<2}	U+2039	‹	SINGLE LEFT-POINTING ANGLE QUOTATION MARK
{>-}	U+2265	≥	GREATER-THAN OR EQUAL TO
{>2}	U+203A	›	SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
{A %,}	U+0104	Ą	LATIN CAPITAL LETTER A WITH OGONEK
{A .}	U+1EA0	Ạ	LATIN CAPITAL LETTER A WITH DOT BELOW
{AE/}	U+01FC	Ǽ	LATIN CAPITAL LETTER AE WITH ACUTE
{ALFA}	U+0391	Α	GREEK CAPITAL LETTER ALPHA
{A^}	U+00C2	Â	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
{Au}	U+0102	Ă	LATIN CAPITAL LETTER A WITH BREVE
{Av}	U+01CD	Ǎ	LATIN CAPITAL LETTER A WITH CARON
{A~}	U+00C3	Ã	LATIN CAPITAL LETTER A WITH TILDE
{BETA}	U+0392	Β	GREEK CAPITAL LETTER BETA
{C.}	U+010A	Ċ	LATIN CAPITAL LETTER C WITH DOT ABOVE
{C/}	U+0106	Ć	LATIN CAPITAL LETTER C WITH ACUTE
{C^}	U+0108	Ĉ	LATIN CAPITAL LETTER C WITH CIRCUMFLEX
{D*-}	U+0110	Đ	LATIN CAPITAL LETTER D WITH STROKE
{Dv}	U+010E	Ď	LATIN CAPITAL LETTER D WITH CARON
{E %,}	U+0118	Ę	LATIN CAPITAL LETTER E WITH OGONEK
{E .}	U+1EB8	Ẹ	LATIN CAPITAL LETTER E WITH DOT BELOW
{E.}	U+0116	Ė	LATIN CAPITAL LETTER E WITH DOT ABOVE
{E:}	U+00CB	Ë	LATIN CAPITAL LETTER E WITH DIAERESIS
{EPSILON}	U+0395	Ε	GREEK CAPITAL LETTER EPSILON
{ETA}	U+0397	Η	GREEK CAPITAL LETTER ETA
{ETH}	U+00D0	Ð	LATIN CAPITAL LETTER ETH
{Eu}	U+0114	Ĕ	LATIN CAPITAL LETTER E WITH BREVE
{Ev}	U+011A	Ě	LATIN CAPITAL LETTER E WITH CARON
{E~}	U+1EBC	Ẽ	LATIN CAPITAL LETTER E WITH TILDE
{G ,}	U+0122	Ģ	LATIN CAPITAL LETTER G WITH CEDILLA
{G.}	U+0120	Ġ	LATIN CAPITAL LETTER G WITH DOT ABOVE
{G^}	U+011C	Ĝ	LATIN CAPITAL LETTER G WITH CIRCUMFLEX
{H  -}	U+0126	Ħ	LATIN CAPITAL LETTER H WITH STROKE
{HI}	U+03A7	Χ	GREEK CAPITAL LETTER CHI
{H^}	U+0124	Ĥ	LATIN CAPITAL LETTER H WITH CIRCUMFLEX
{I %,}	U+012E	Į	LATIN CAPITAL LETTER I WITH OGONEK
{I .}	U+1ECA	Ị	LATIN CAPITAL LETTER I WITH DOT BELOW
{I-}	U+012A	Ī	LATIN CAPITAL LETTER I WITH MACRON
{I:}	U+00CF	Ï	LATIN CAPITAL LETTER I WITH DIAERESIS
{IJ}	U+0132	Ĳ	LATIN CAPITAL LIGATURE IJ
{IPSILON}	U+03A5	Υ	GREEK CAPITAL LETTER UPSILON
{I\}	U+00CC	Ì	LATIN CAPITAL LETTER I WITH GRAVE
{Iu}	U+012C	Ĭ	LATIN CAPITAL LETTER I WITH BREVE
{Iv}	U+01CF	Ǐ	LATIN CAPITAL LETTER I WITH CARON
{I~}	U+0128	Ĩ	LATIN CAPITAL LETTER I WITH TILDE
{JOTA}	U+0399	Ι	GREEK CAPITAL LETTER IOTA
{J^}	U+0134	Ĵ	LATIN CAPITAL LETTER J WITH CIRCUMFLEX
{K ,}	U+0136	Ķ	LATIN CAPITAL LETTER K WITH CEDILLA
{KAPA}	U+039A	Κ	GREEK CAPITAL LETTER KAPPA
{KROG}	U+25CF	●	BLACK CIRCLE
{KSI}	U+039E	Ξ	GREEK CAPITAL LETTER XI
{KVADRATEK}	U+25AA	▪	BLACK SMALL SQUARE
{KVADRAT}	U+25A0	■	BLACK SQUARE
{L  .}	U+013F	Ŀ	LATIN CAPITAL LETTER L WITH MIDDLE DOT
{L  /}	U+0141	Ł	LATIN CAPITAL LETTER L WITH STROKE
{L ,}	U+013B	Ļ	LATIN CAPITAL LETTER L WITH CEDILLA
{L /}	U+0141	Ł	LATIN CAPITAL LETTER L WITH STROKE
{L/}	U+0139	Ĺ	LATIN CAPITAL LETTER L WITH ACUTE
